,movie,year,imdb,metascore,votes
377,Kingsman: The Secret Service,(2014),7.7,60,585967
378,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,574815
379,John Wick,(2014),7.4,68,530992
380,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,469728
381,Ex Machina,(2014),7.7,78,469519
382,Nightcrawler,(2014),7.9,76,459072
383,Lucy,(I) (2014),6.4,61,442086
384,American Sniper,(2014),7.3,72,435682
385,Divergent,(2014),6.6,48,423084
386,Fury,(2014),7.6,64,421607
387,The Maze Runner,(2014),6.8,57,413859
388,The Amazing Spider-Man 2,(2014),6.6,53,413784
389,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,410404
390,Dawn of the Planet of the Apes,(2014),7.6,79,409682
391,Big Hero 6,(2014),7.8,74,406741
392,The Theory of Everything,(2014),7.7,72,399335
393,Godzilla,(2014),6.4,62,372650
394,22 Jump Street,(2014),7.0,71,343228
395,Maleficent,(2014),7.0,56,341749
396,The Fault in our Stars,(2014),7.7,69,341525
397,Boyhood,(I) (2014),7.9,100,333640
398,The Equalizer,(2014),7.2,57,330223
399,The Lego Movie,(2014),7.7,83,322173
400,The Interview,(II) (2014),6.5,52,304678
401,How to Train Your Dragon 2,(2014),7.8,76,302563
402,Transformers: Age of Extinction,(2014),5.6,32,296729
403,Bad Neighbours,(I) (2014),6.3,68,284750
404,300: Rise of an Empire,(2014),6.2,48,279245
405,Predestination,(I) (2014),7.5,69,249977
406,Non-Stop,(2014),6.9,56,248712
407,Noah,(2014),5.7,68,241938
408,Transcendence,(I) (2014),6.3,42,215725
409,RoboCop,(2014),6.1,52,215181
410,It Follows,(2014),6.8,83,208419
411,Teenage Mutant Ninja Turtles,(2014),5.8,31,200013
412,The Babadook,(2014),6.8,86,194908
413,Interstellar,(2014),8.6,74,1487139
414,Guardians of the Galaxy,(2014),8.0,76,1034807
415,Gone Girl,(2014),8.1,79,849085
416,Captain America: The Winter Soldier,(2014),7.7,70,728779
417,Whiplash,(2014),8.5,88,706342
418,The Grand Budapest Hotel,(2014),8.1,88,698931
419,The Imitation Game,(2014),8.0,73,677995
420,X-Men: Days of Future Past,(2014),7.9,75,656015
421,Edge of Tomorrow,(2014),7.9,71,594477
422,Kingsman: The Secret Service,(2014),7.7,60,585967
423,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,574815
424,John Wick,(2014),7.4,68,530992
425,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,469728
426,Ex Machina,(2014),7.7,78,469519
427,Nightcrawler,(2014),7.9,76,459072
428,Lucy,(I) (2014),6.4,61,442086
429,American Sniper,(2014),7.3,72,435682
430,Divergent,(2014),6.6,48,423084
431,Fury,(2014),7.6,64,421607
432,The Maze Runner,(2014),6.8,57,413859
433,The Amazing Spider-Man 2,(2014),6.6,53,413784
434,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,410404
435,Dawn of the Planet of the Apes,(2014),7.6,79,409682
436,Big Hero 6,(2014),7.8,74,406741
437,The Theory of Everything,(2014),7.7,72,399335
438,Godzilla,(2014),6.4,62,372650
439,22 Jump Street,(2014),7.0,71,343228
440,Maleficent,(2014),7.0,56,341749
441,The Fault in our Stars,(2014),7.7,69,341525
442,Boyhood,(I) (2014),7.9,100,333640
443,The Equalizer,(2014),7.2,57,330223
444,The Lego Movie,(2014),7.7,83,322173
445,The Interview,(II) (2014),6.5,52,304678
446,How to Train Your Dragon 2,(2014),7.8,76,302563
447,Transformers: Age of Extinction,(2014),5.6,32,296729
448,Bad Neighbours,(I) (2014),6.3,68,284750
449,300: Rise of an Empire,(2014),6.2,48,279245
450,Predestination,(I) (2014),7.5,69,249977
451,Non-Stop,(2014),6.9,56,248712
452,Noah,(2014),5.7,68,241938
453,Transcendence,(I) (2014),6.3,42,215725
454,RoboCop,(2014),6.1,52,215181
455,It Follows,(2014),6.8,83,208419
456,Teenage Mutant Ninja Turtles,(2014),5.8,31,200013
457,The Babadook,(2014),6.8,86,194908
458,Interstellar,(2014),8.6,74,1487139
459,Guardians of the Galaxy,(2014),8.0,76,1034807
460,Gone Girl,(2014),8.1,79,849085
461,Captain America: The Winter Soldier,(2014),7.7,70,728779
462,Whiplash,(2014),8.5,88,706342
463,The Grand Budapest Hotel,(2014),8.1,88,698931
464,The Imitation Game,(2014),8.0,73,677995
465,X-Men: Days of Future Past,(2014),7.9,75,656015
466,Edge of Tomorrow,(2014),7.9,71,594477
467,Kingsman: The Secret Service,(2014),7.7,60,585967
468,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,574815
469,John Wick,(2014),7.4,68,530992
470,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,469728
471,Ex Machina,(2014),7.7,78,469519
472,Nightcrawler,(2014),7.9,76,459072
473,Lucy,(I) (2014),6.4,61,442086
474,American Sniper,(2014),7.3,72,435682
475,Divergent,(2014),6.6,48,423084
476,Fury,(2014),7.6,64,421607
477,The Maze Runner,(2014),6.8,57,413859
478,The Amazing Spider-Man 2,(2014),6.6,53,413784
479,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,410404
480,Dawn of the Planet of the Apes,(2014),7.6,79,409682
481,Big Hero 6,(2014),7.8,74,406741
482,The Theory of Everything,(2014),7.7,72,399335
483,Godzilla,(2014),6.4,62,372650
484,22 Jump Street,(2014),7.0,71,343228
485,Maleficent,(2014),7.0,56,341749
486,The Fault in our Stars,(2014),7.7,69,341525
487,Boyhood,(I) (2014),7.9,100,333640
488,The Equalizer,(2014),7.2,57,330223
489,The Lego Movie,(2014),7.7,83,322173
490,The Interview,(II) (2014),6.5,52,304678
491,How to Train Your Dragon 2,(2014),7.8,76,302563
492,Transformers: Age of Extinction,(2014),5.6,32,296729
493,Bad Neighbours,(I) (2014),6.3,68,284750
494,300: Rise of an Empire,(2014),6.2,48,279245
495,Predestination,(I) (2014),7.5,69,249977
496,Non-Stop,(2014),6.9,56,248712
497,Noah,(2014),5.7,68,241938
498,Transcendence,(I) (2014),6.3,42,215725
499,RoboCop,(2014),6.1,52,215181
500,It Follows,(2014),6.8,83,208419
501,Teenage Mutant Ninja Turtles,(2014),5.8,31,200013
502,The Babadook,(2014),6.8,86,194908
503,Interstellar,(2014),8.6,74,1487139
504,Guardians of the Galaxy,(2014),8.0,76,1034807
505,Gone Girl,(2014),8.1,79,849085
506,Captain America: The Winter Soldier,(2014),7.7,70,728779
507,Whiplash,(2014),8.5,88,706342
508,The Grand Budapest Hotel,(2014),8.1,88,698931
509,The Imitation Game,(2014),8.0,73,677995
510,X-Men: Days of Future Past,(2014),7.9,75,656015
511,Edge of Tomorrow,(2014),7.9,71,594477
512,Kingsman: The Secret Service,(2014),7.7,60,585967
513,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,574815
514,John Wick,(2014),7.4,68,530992
515,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,469728
516,Ex Machina,(2014),7.7,78,469519
517,Nightcrawler,(2014),7.9,76,459072
518,Lucy,(I) (2014),6.4,61,442086
519,American Sniper,(2014),7.3,72,435682
520,Divergent,(2014),6.6,48,423084
521,Fury,(2014),7.6,64,421607
522,The Maze Runner,(2014),6.8,57,413859
523,The Amazing Spider-Man 2,(2014),6.6,53,413784
524,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,410404
525,Dawn of the Planet of the Apes,(2014),7.6,79,409682
526,Big Hero 6,(2014),7.8,74,406741
527,The Theory of Everything,(2014),7.7,72,399335
528,Godzilla,(2014),6.4,62,372650
529,22 Jump Street,(2014),7.0,71,343228
530,Maleficent,(2014),7.0,56,341749
531,The Fault in our Stars,(2014),7.7,69,341525
532,Boyhood,(I) (2014),7.9,100,333640
533,The Equalizer,(2014),7.2,57,330223
534,The Lego Movie,(2014),7.7,83,322173
535,The Interview,(II) (2014),6.5,52,304678
536,How to Train Your Dragon 2,(2014),7.8,76,302563
537,Transformers: Age of Extinction,(2014),5.6,32,296729
538,Bad Neighbours,(I) (2014),6.3,68,284750
539,300: Rise of an Empire,(2014),6.2,48,279245
540,Predestination,(I) (2014),7.5,69,249977
541,Non-Stop,(2014),6.9,56,248712
542,Noah,(2014),5.7,68,241938
543,Transcendence,(I) (2014),6.3,42,215725
544,RoboCop,(2014),6.1,52,215181
545,It Follows,(2014),6.8,83,208419
546,Teenage Mutant Ninja Turtles,(2014),5.8,31,200013
547,The Babadook,(2014),6.8,86,194908
548,Mad Max: Fury Road,(2015),8.1,90,871573
549,Star Wars: Episode VII - The Force Awakens,(2015),7.9,80,853527
550,The Martian,(2015),8.0,80,752138
551,Avengers: Age of Ultron,(2015),7.3,66,733119
552,The Revenant,(2015),8.0,76,696652
553,Inside Out,(I) (2015),8.1,94,604616
554,Jurassic World,(2015),7.0,59,575313
555,Ant-Man,(2015),7.3,64,563130
556,The Hateful Eight,(2015),7.8,68,509159
557,Spotlight,(I) (2015),8.1,93,414902
558,Spectre,(I) (2015),6.8,60,381415
559,Sicario,(2015),7.6,82,367007
560,Room,(I) (2015),8.1,86,365618
561,Fast & Furious 7,(2015),7.1,67,356935
562,The Big Short,(2015),7.8,81,356752
563,Mission: Impossible - Rogue Nation,(2015),7.4,75,339147
564,Fifty Shades of Grey,(2015),4.1,46,295961
565,Bridge of Spies,(2015),7.6,81,284910
566,The Hunger Games: Mockingjay - Part 2,(2015),6.6,65,283317
567,The Man from U.N.C.L.E.,(2015),7.3,56,271017
568,Terminator Genisys,(2015),6.3,38,257871
569,Creed,(II) (2015),7.6,82,245232
570,Chappie,(2015),6.8,41,228340
571,Spy,(2015),7.0,75,228265
572,Maze Runner: The Scorch Trials,(2015),6.3,43,219509
573,The Intern,(I) (2015),7.1,51,217482
574,Insurgent,(2015),6.2,42,216022
575,Focus,(II) (2015),6.6,56,216008
576,Southpaw,(2015),7.4,57,215863
577,The Lobster,(2015),7.2,82,215725
578,San Andreas,(2015),6.1,43,210684
579,Minions,(2015),6.4,56,210429
580,The Witch,(2015),6.9,83,196945
581,Everest,(2015),7.1,64,195343
582,Ted 2,(2015),6.3,48,183102
583,Straight Outta Compton,(2015),7.8,72,177988
584,Jupiter Ascending,(2015),5.3,40,177924
