,movie,year,imdb,metascore,votes,n_imdb
1289,Rampage,2018,6.1,45,141706,61.0
1290,Crazy Rich Asians,2018,6.9,74,138867,69.0
1291,Searching,2018,7.6,71,138227,76.0
1292,Roma,2018,7.7,96,138161,77.0
1293,Isle of Dogs,2018,7.9,82,136444,79.0
1294,Bumblebee,2018,6.8,66,136060,68.0
1295,The Equalizer 2,2018,6.7,50,130638,67.0
1296,Ralph Breaks the Internet,2018,7.1,71,128607,71.0
1297,Bad Times at the El Royale,2018,7.1,60,126785,71.0
1298,A Simple Favour,2018,6.8,67,126018,68.0
1299,Sicario: Day of the Soldado,2018,7.1,61,123355,71.0
1300,Halloween,2018,6.5,67,119792,65.0
1301,The Ballad of Buster Scruggs,2018,7.3,79,119673,73.0
1302,Vice,2018,7.2,61,118804,72.0
1303,The Nun,2018,5.3,46,116842,53.0
1304,The Predator,2018,5.3,48,115203,53.0
1305,Tag,2018,6.5,56,112121,65.0
1306,Avengers: Infinity War,2018,8.4,68,818595,84.0
1307,Black Panther,2018,7.3,88,617350,73.0
1308,Deadpool 2,2018,7.7,66,471710,77.0
1309,Bohemian Rhapsody,2018,8.0,49,443239,80.0
1310,A Quiet Place,2018,7.5,82,402394,75.0
1311,Aquaman,2018,6.9,55,363034,69.0
1312,Ready Player One,2018,7.5,64,362973,75.0
1313,Spider-Man: Into the Spider-Verse,2018,8.4,87,361940,84.0
1314,Green Book,2018,8.2,69,361339,82.0
1315,Venom,2018,6.7,35,355162,67.0
1316,A Star Is Born,2018,7.6,88,328213,76.0
1317,Ant-Man and the Wasp,2018,7.1,70,303589,71.0
1318,Mission: Impossible - Fallout,2018,7.7,86,287548,77.0
1319,Solo: A Star Wars Story,2018,6.9,62,285770,69.0
1320,Annihilation,2018,6.8,79,277524,68.0
1321,Bird Box,2018,6.6,51,274850,66.0
1322,Jurassic World: Fallen Kingdom,2018,6.2,51,262870,62.0
1323,The Incredibles 2,2018,7.6,80,245403,76.0
1324,Hereditary,2018,7.3,87,235197,73.0
1325,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,218473,66.0
1326,BlacKkKlansman,2018,7.5,83,217870,75.0
1327,Game Night,2018,6.9,66,204172,69.0
1328,Tomb Raider,2018,6.3,48,188794,63.0
1329,Ocean's Eight,2018,6.9,61,182849,69.0
1330,The Favourite,2018,7.5,91,169038,75.0
1331,First Man,2018,7.3,84,165557,73.0
1332,Red Sparrow,2018,6.6,53,163491,66.0
1333,Upgrade,2018,7.5,67,155990,75.0
1334,The Meg,2018,5.6,46,147940,56.0
1335,Rampage,2018,6.1,45,141706,61.0
1336,Crazy Rich Asians,2018,6.9,74,138867,69.0
1337,Searching,2018,7.6,71,138227,76.0
1338,Roma,2018,7.7,96,138161,77.0
1339,Isle of Dogs,2018,7.9,82,136444,79.0
1340,Bumblebee,2018,6.8,66,136060,68.0
1341,The Equalizer 2,2018,6.7,50,130638,67.0
1342,Ralph Breaks the Internet,2018,7.1,71,128607,71.0
1343,Bad Times at the El Royale,2018,7.1,60,126785,71.0
1344,A Simple Favour,2018,6.8,67,126018,68.0
1345,Sicario: Day of the Soldado,2018,7.1,61,123355,71.0
1346,Halloween,2018,6.5,67,119792,65.0
1347,The Ballad of Buster Scruggs,2018,7.3,79,119673,73.0
1348,Vice,2018,7.2,61,118804,72.0
1349,The Nun,2018,5.3,46,116842,53.0
1350,The Predator,2018,5.3,48,115203,53.0
1351,Tag,2018,6.5,56,112121,65.0
1352,Avengers: Infinity War,2018,8.4,68,818595,84.0
1353,Black Panther,2018,7.3,88,617350,73.0
1354,Deadpool 2,2018,7.7,66,471710,77.0
1355,Bohemian Rhapsody,2018,8.0,49,443239,80.0
1356,A Quiet Place,2018,7.5,82,402394,75.0
1357,Aquaman,2018,6.9,55,363034,69.0
1358,Ready Player One,2018,7.5,64,362973,75.0
1359,Spider-Man: Into the Spider-Verse,2018,8.4,87,361940,84.0
1360,Green Book,2018,8.2,69,361339,82.0
1361,Venom,2018,6.7,35,355162,67.0
1362,A Star Is Born,2018,7.6,88,328213,76.0
1363,Ant-Man and the Wasp,2018,7.1,70,303589,71.0
1364,Mission: Impossible - Fallout,2018,7.7,86,287548,77.0
1365,Solo: A Star Wars Story,2018,6.9,62,285770,69.0
1366,Annihilation,2018,6.8,79,277524,68.0
1367,Bird Box,2018,6.6,51,274850,66.0
1368,Jurassic World: Fallen Kingdom,2018,6.2,51,262870,62.0
1369,The Incredibles 2,2018,7.6,80,245403,76.0
1370,Hereditary,2018,7.3,87,235197,73.0
1371,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,218473,66.0
1372,BlacKkKlansman,2018,7.5,83,217870,75.0
1373,Game Night,2018,6.9,66,204172,69.0
1374,Tomb Raider,2018,6.3,48,188794,63.0
1375,Ocean's Eight,2018,6.9,61,182849,69.0
1376,The Favourite,2018,7.5,91,169038,75.0
1377,First Man,2018,7.3,84,165557,73.0
1378,Red Sparrow,2018,6.6,53,163491,66.0
1379,Upgrade,2018,7.5,67,155990,75.0
1380,The Meg,2018,5.6,46,147940,56.0
1381,Rampage,2018,6.1,45,141706,61.0
1382,Crazy Rich Asians,2018,6.9,74,138867,69.0
1383,Searching,2018,7.6,71,138227,76.0
1384,Roma,2018,7.7,96,138161,77.0
1385,Isle of Dogs,2018,7.9,82,136444,79.0
1386,Bumblebee,2018,6.8,66,136060,68.0
1387,The Equalizer 2,2018,6.7,50,130638,67.0
1388,Ralph Breaks the Internet,2018,7.1,71,128607,71.0
1389,Bad Times at the El Royale,2018,7.1,60,126785,71.0
1390,A Simple Favour,2018,6.8,67,126018,68.0
1391,Sicario: Day of the Soldado,2018,7.1,61,123355,71.0
1392,Halloween,2018,6.5,67,119792,65.0
1393,The Ballad of Buster Scruggs,2018,7.3,79,119673,73.0
1394,Vice,2018,7.2,61,118804,72.0
1395,The Nun,2018,5.3,46,116842,53.0
1396,The Predator,2018,5.3,48,115203,53.0
1397,Tag,2018,6.5,56,112121,65.0
1398,Avengers: Infinity War,2018,8.4,68,818595,84.0
1399,Black Panther,2018,7.3,88,617350,73.0
1400,Deadpool 2,2018,7.7,66,471710,77.0
1401,Bohemian Rhapsody,2018,8.0,49,443239,80.0
1402,A Quiet Place,2018,7.5,82,402394,75.0
1403,Aquaman,2018,6.9,55,363034,69.0
1404,Ready Player One,2018,7.5,64,362973,75.0
1405,Spider-Man: Into the Spider-Verse,2018,8.4,87,361940,84.0
1406,Green Book,2018,8.2,69,361339,82.0
1407,Venom,2018,6.7,35,355162,67.0
1408,A Star Is Born,2018,7.6,88,328213,76.0
1409,Ant-Man and the Wasp,2018,7.1,70,303589,71.0
1410,Mission: Impossible - Fallout,2018,7.7,86,287548,77.0
1411,Solo: A Star Wars Story,2018,6.9,62,285770,69.0
1412,Annihilation,2018,6.8,79,277524,68.0
1413,Bird Box,2018,6.6,51,274850,66.0
1414,Jurassic World: Fallen Kingdom,2018,6.2,51,262870,62.0
1415,The Incredibles 2,2018,7.6,80,245403,76.0
1416,Hereditary,2018,7.3,87,235197,73.0
1417,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,218473,66.0
1418,BlacKkKlansman,2018,7.5,83,217870,75.0
1419,Game Night,2018,6.9,66,204172,69.0
1420,Tomb Raider,2018,6.3,48,188794,63.0
1421,Ocean's Eight,2018,6.9,61,182849,69.0
1422,The Favourite,2018,7.5,91,169038,75.0
1423,First Man,2018,7.3,84,165557,73.0
1424,Red Sparrow,2018,6.6,53,163491,66.0
1425,Upgrade,2018,7.5,67,155990,75.0
1426,The Meg,2018,5.6,46,147940,56.0
1427,Rampage,2018,6.1,45,141706,61.0
1428,Crazy Rich Asians,2018,6.9,74,138867,69.0
1429,Searching,2018,7.6,71,138227,76.0
1430,Roma,2018,7.7,96,138161,77.0
1431,Isle of Dogs,2018,7.9,82,136444,79.0
1432,Bumblebee,2018,6.8,66,136060,68.0
1433,The Equalizer 2,2018,6.7,50,130638,67.0
1434,Ralph Breaks the Internet,2018,7.1,71,128607,71.0
1435,Bad Times at the El Royale,2018,7.1,60,126785,71.0
1436,A Simple Favour,2018,6.8,67,126018,68.0
1437,Sicario: Day of the Soldado,2018,7.1,61,123355,71.0
1438,Halloween,2018,6.5,67,119792,65.0
1439,The Ballad of Buster Scruggs,2018,7.3,79,119673,73.0
1440,Vice,2018,7.2,61,118804,72.0
1441,The Nun,2018,5.3,46,116842,53.0
1442,The Predator,2018,5.3,48,115203,53.0
1443,Tag,2018,6.5,56,112121,65.0
